Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Tags,Status,Text Area 1,Text Area 2,Comments,Assignee,Description,End Date,Estimate,Start Date,Status,T-shirt size,Title
1,Document,,,,,,,,,,,Public Release Workflow Board,,,,,,,,,,
2,Page,,,,,,,,,,,Page 1,,,,,,,,,,
3,SparkContainerBlock,,2,,,,,,,,,Discovery,,,,,,,,,,
4,SparkContainerBlock,,2,,,,,,,,,Implementation,,,,,,,,,,
5,SparkContainerBlock,,2,,,,,,,,,Verification,,,,,,,,,,
6,LucidCardBlock,,2,3,grp-core,,,,,Planning|Roadmap,,Inventory library surface,Identify modules and docs that need public review,,Maintainer A,Inventory the library surface for public release,,medium,,,Inventory library surface
7,LucidCardBlock,,2,4,grp-core,,,,,IntegrationPartner|Documentation,,Rewrite public README,Replace internal framing and add public install guidance,,Maintainer B,Rewrite the public README and top-level docs,,medium,,,Rewrite public README
8,LucidCardBlock,,2,4,grp-release,,,,,IntegrationPartner|Testing,,Create synthetic fixtures,Replace identifying sample data with synthetic examples,,Maintainer C,Create synthetic fixtures for public examples,,small,,,Create synthetic fixtures
9,LucidCardBlock,,2,5,grp-release,,,,,Testing|Release,,Run release verification,Execute tests and rescans before publication,,Maintainer D,Run release verification checks,,small,,,Run release verification
10,Line,,2,,,6,7,,,,,,,,,,,,,,,
11,Line,,2,,,7,8,,,,,,,,,,,,,,,
12,Line,,2,,,8,9,,,,,,,,,,,,,,,
13,LucidCardBlock,,2,3,grp-roadmap,,,,,Roadmap|ExampleData,,Draft migration notes,Document the shift from internal imports to the public package,,Maintainer E,Draft migration notes for adopters,,small,,,Draft migration notes
14,LucidCardBlock,,2,5,grp-roadmap,,,,,Release|Documentation,,Publish release checklist,Summarize the public release checklist for maintainers,,Maintainer F,Publish release checklist for maintainers,,small,,,Publish release checklist
